Category,Sage ID,Item Name,Case Quantity,Cases Per Pallet
Clamshell,72-100QT-Y,16 Oz Multipurpose Clamshell Vented,500,36
Clamshell,72-10DN-Y,1 Lb Campari Tomato Clamshell,420,24
Clamshell,72-2711-G,2 Lb Campari Tomato Button Seal Clamshell,280,24
Clamshell,72-27575F-Y,24 oz Modular Friction Seal,330,20
Clamshell,72-367TSW-Y,3 Ct Small Tomato Clamshell,680,30
Clamshell,72-452PT-Y,6 oz Blueberry Clamshell,660,24
Clamshell,72-453PT-G,Pint Clamshell Slot Vented,630,24
Clamshell,72-50QT-Y,14 Oz Multipurpose Mid Profile,580,36
Clamshell,72-655T-Y,6 Ct Tomato Modular Clamshell Slot,250,24
Clamshell,72-752-G,14 Oz Campari Tomato Clamshell,600,24
Clamshell,72-752-G,14 Oz Campari Tomato Clamshell,620,24
Habitat,7501-R,Habitat 1.75 LB Roma Tray,258,30
Habitat,7510-R,Habitat 8 Down Tray,320,30
Habitat,7512-R,Habitat 15 Down 4 Oz Tray,750,30
TopSeal,76-1070-G,15 Down Topseal Pet Pint Bowl,650,28
TopSeal,76-1070-Y,15 Down Topseal Pet Pint Bowl,650,36
TopSeal,76-1068-Y,10 Down Topseal,700,24
TopSeal,76-1072-Y,1.5 Lb Grape Tomato Bowl,480,20
TopSeal,76-1120-G,2 Lb Square Eco Bowl,420,20
TopSeal,76-544M-Y,8 Oz Brown Whole Mushroom Tray,800,28
TopSeal,76-752M-Y,8 Oz Brown Slice Mushroom Tray,540,28
TopSeal,76-77215-Y,2.2" Fruit Tray,390,24
TopSeal,76-77275-Y,2.75" Fruit Tray,360,24
TopSeal,76-773V-Y,3.00" Fruit Tray,360,24
TopSeal,76-775V-Y,3 lb Fruit Tray,300,24
